Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
Insider Threat Detection using Machine Learning Models for User Behavior Analysis,M. A.; M. Puteh; S. R.,"Department of Computer Science, Karpagam Academy of Higher Education, Coimbatore, India; Department of Computer Science, Universiti Teknologi Mara, Terrengannu, Malaysia; Department of Computer Science, Karpagam Academy of Higher Education, Coimbatore, India",2025 5th International Conference on Expert Clouds and Applications (ICOECA),13-Aug-25,2025,,,811,814,"Insider threats pose a serious threat to an organization's security in the current digital environment. The emergence of Bring Your Own Device (BYOD) and Cloud Computing has made the protection of sensitive data critical. This work explored using machine learning (ML) models to analyze user behavior, with a focus on insider threat detection. The models employed state-of-the-art techniques such as anomaly detection, clustering, and deep learning to identify malicious activity initiated by authorized users. Further, the results demonstrated that these models can help organizations reduce insider risks and enhance cybersecurity protocols.",,979-8-3315-2447-0,10.1109/ICOECA66273.2025.00143,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11113891,Insider threats;machine learning;deep learning;user behavior analysis;cybersecurity;anomaly detection;clustering;SIEM;proactive detection;LSTM;random forest;support vector machines,Deep learning;Support vector machines;Analytical models;Cloud computing;Computational modeling;Threat assessment;Bring your own device;Computer security;Long short term memory;Anomaly detection,,,,13,IEEE,13-Aug-25,6-7 March 2025,6-7 March 2025,IEEE,IEEE Conferences
Insider Threat Detection using Deep Learning: A Review,M. Raut; S. Dhavale; A. Singh; A. Mehra,"Defence Institute of Advanced Technology, Pune, India; Defence Institute of Advanced Technology, Pune, India; Persistent Systems, Pune, India; National Critical Information Infrastructure Protection Centre, Mumbai, India",2020 3rd International Conference on Intelligent Sustainable Systems (ICISS),18-Jan-21,2020,,,856,863,"A plethora of research is available for detecting and mitigating threats that occur across the organization's boundaries. However, Insider Threat Detection has only recently entered the limelight. It turns out to be a daunting task, given that insiders can evade firewalls, Intrusion Detection Systems, and other security mechanisms aimed at protecting the information infrastructure from outside attacks. In addition to this, some insiders having administrative rights to access privileged information and perform operations on it might turn rogue. Their malicious actions could go undetected as their digital footprint might get buried in massive dumps of log data. This survey aims to provide a comprehensive explanation of the problem statement at hand, Insider Threat Detection using Deep Learning. It has been initiated by introducing Insider Threat Detection and related terminology. Deep Learning has been chosen as the preferred approach for solving this problem statement as it has been proven to be better than the conventional Machine Learning algorithms while dealing with complex data originating from varied sources. Here, Deep Learning and Log based Anomaly Detection have been explained. Some datasets available specifically for the research domain of Insider Threat Detection have been brought under one roof. Then, by having a closer look at the CERT Insider Threat Dataset, a brief comparative analysis of the existing Deep Learning solutions for Insider Threat Detection based on this dataset is provided. Also, this work overviews the challenges faced and how they open doors for further research. In order to cater to the readers looking for an industry-oriented approach, this survey explains how a Deep Learning model can be integrated with the Elasticsearch-Logstash-Kibana (ELK) Stack.",,978-1-7281-7089-3,10.1109/ICISS49785.2020.9315932,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9315932,insider threat detection;deep learning;log analysis;anomaly detection;ELK stack,Deep learning;Feature extraction;Security;Computer architecture;Weapons;Anomaly detection;Conferences,,21,,26,IEEE,18-Jan-21,3-5 Dec. 2020,3-5 Dec. 2020,IEEE,IEEE Conferences
Cloud Insider Threat Detection using Deep Learning Models,D. Shanmugapriya; C. J. Dhanya; S. Asha; G. Padmavathi; D. N. P. Suthisini,"Department of Information Technology, Avinashilingam Inst. for Home Science and Higher Education for Women, Coimbatore, India; Department of Information Technology, Avinashilingam Inst. for Home Science and Higher Education for Women, Coimbatore, India; Department of Computer Science, Avinashilingam Inst. for Home Science and Higher Education for Women, Coimbatore, India; Department of Computer Science, Avinashilingam Inst. for Home Science and Higher Education for Women, Coimbatore, India; Department of Information Technology, Avinashilingam Inst. for Home Science and Higher Education for Women, Coimbatore, India",2024 11th International Conference on Computing for Sustainable Global Development (INDIACom),18-Apr-24,2024,,,434,438,"Insider attacks are a major threat to cloud security since they can harm organizational assets and have overlapping security mechanisms. Therefore, insider threat detection in the cloud environment is necessary to compromise such attacks. Past research applied machine learning and Deep Learning (DL) techniques for recognizing insider threats in the cloud. The self-learning capabilities in network layers of deep learning could enhance and handle class imbalance problems in detecting and recognizing cloud insider threats. In this paper, the pre-processed insider threat data is obtained by applying various data preprocessing techniques, including data integrity, data transformation, and data sampling using Synthetic-Minority Over-sampling Technique (SMOTE) to deal with the issue of the imbalanced dataset. The balanced data obtained from preprocessing algorithms are classified using DL algorithms, including Conventional Neural networks (CNN) and Long Short-Term Memory (LSTM) for cloud Insider Threat Detection. The experimental result shows that the performance of CNN with SMOTE-based balanced data outperforms LSTM with SMOTE regarding the accuracy, f-score, precision, and recall for detecting cloud insider threats.",,978-93-80544-51-9,10.23919/INDIACom61295.2024.10498767,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10498767,Class Imbalance;Cloud;CNN;Deep Learning;Insider threat;LSTM;SMOTE,Deep learning;Data integrity;Computational modeling;Cloud computing security;Neural networks;Data preprocessing;Threat assessment,,3,,22,,18-Apr-24,28 Feb.-1 March 2024,28 Feb.-1 March 2024,IEEE,IEEE Conferences
A Trust Aware Unsupervised Learning Approach for Insider Threat Detection,M. Aldairi; L. Karimi; J. Joshi,"School of Computing and Information, University of Pittsburgh, Pittsburgh, USA; School of Computing and Information, University of Pittsburgh, Pittsburgh, USA; School of Computing and Information, University of Pittsburgh, Pittsburgh, USA",2019 IEEE 20th International Conference on Information Reuse and Integration for Data Science (IRI),19-Sep-19,2019,,,89,98,"With the rapidly increasing connectivity in cyberspace, Insider Threat is becoming a huge concern. Insider threat detection from system logs poses a tremendous challenge for human analysts. Analyzing log files of an organization is a key component of an insider threat detection and mitigation program. Emerging machine learning approaches show tremendous potential for performing complex and challenging data analysis tasks that would benefit the next generation of insider threat detection systems. However, with huge sets of heterogeneous data to analyze, applying machine learning techniques effectively and efficiently to such a complex problem is not straightforward. In this paper, we extract a concise set of features from the system logs while trying to prevent loss of meaningful information and providing accurate and actionable intelligence. We investigate two unsupervised anomaly detection algorithms for insider threat detection and draw a comparison between different structures of the system logs including daily dataset and periodically aggregated one. We use the generated anomaly score from the previous cycle as the trust score of each user fed to the next period's model and show its importance and impact in detecting insiders. Furthermore, we consider the psychometric score of users in our model and check its effectiveness in predicting insiders. As far as we know, our model is the first one to take the psychometric score of users into consideration for insider threat detection. Finally, we evaluate our proposed approach on CERT insider threat dataset (v4.2) and show how it outperforms previous approaches.",,978-1-7281-1337-1,10.1109/IRI.2019.00027,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8843465,"insider threat, anomaly detection, unsupervised learning, isolation forest, one-class SVM, trust",Feature extraction;Organizations;Forestry;Support vector machines;Anomaly detection;Machine learning;Machine learning algorithms,,29,,35,IEEE,19-Sep-19,30 July-1 Aug. 2019,30 July-1 Aug. 2019,IEEE,IEEE Conferences
Insider Threat Detection Using An Unsupervised Learning Method: COPOD,X. Sun; Y. Wang; Z. Shi,"Graduate School Space Engineering University, Beijing, China; Information Institute, Space Engineering University, Beijing, China; Graduate School Space Engineering University, Beijing, China","2021 International Conference on Communications, Information System and Computer Engineering (CISCE)",9-Jun-21,2021,,,749,754,"In recent years, insider threat incidents and losses of companies or organizations are on the rise, and internal network security is facing great challenges. Traditional intrusion detection methods cannot identify malicious behaviors of insiders. As an effective method, insider threat detection technology has been widely concerned and studied. In this paper, we use the tree structure method to analyze user behavior, form feature sequences, and combine the Copula Based Outlier Detection (COPOD) method to detect the difference between feature sequences and identify abnormal users. We experimented on the insider threat dataset CERT-IT and compared it with common methods such as Isolation Forest.",,978-1-6654-0352-8,10.1109/CISCE52179.2021.9445898,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9445898,insider threat detection;tree structure analysis;unsupervised learning;anomaly detection,Intrusion detection;Vegetation;Forestry;Companies;Feature extraction;Security;Communication networks,,16,,22,IEEE,9-Jun-21,14-16 May 2021,14-16 May 2021,IEEE,IEEE Conferences
"Comprehensive Review of Insider Threat Detection: Models, Datasets, and Metrics for Effective Threat Identification",P. S. Satya Prasad; S. Kumari Nayak; M. Vamsi Krishna,"Department of CSE, Centurion University of Technology and Management, Odisha, India; Department of CSE, Centurion University of Technology and Management, Odisha, India; Department of Computer Applications, Aditya University, Surampalem, Andhra Pradesh, India",2024 5th International Conference on Data Intelligence and Cognitive Informatics (ICDICI),31-Dec-24,2024,,,46,51,"This research study presents a comprehensive review of Insider Threat Detection (ITD) models, highlighting the transition from traditional methods to advanced machine learning (ML), deep learning (DL), and hybrid approaches for enhanced threat detection. As ITD evolves to address the challenges posed by Big Data, ML and DL techniques have gained prominence, though they require careful model selection, data preprocessing, and ensembling to optimize performance. The inclusion of hybrid methods, such as the Hybrid Anomaly Checker, which combines statistical and ML-based techniques like the Local Outlier Factor (LoF), enhances the precision of anomaly detection by analyzing individual user behaviors. The review emphasizes the use of advanced datasets like CERT r4.2 and a wide range of evaluation metrics, including True Positive Rate (TPR), Matthews Correlation Coefficient (MCC), and Time to Detection (TTD), to provide a more comprehensive model performance analysis. These metrics ensure robust and reliable ITD systems that are better equipped to handle evolving insider threats.",,979-8-3503-8960-9,10.1109/ICDICI62993.2024.10810954,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10810954,ML(Machine Learning;DL(Deep Learning);mitigation;Insider threat and Insider Threat Detection,Measurement;Deep learning;Correlation coefficient;Accuracy;Reviews;Data preprocessing;Threat assessment;Data models;Hybrid power systems;Reliability,,,,26,IEEE,31-Dec-24,18-20 Nov. 2024,18-20 Nov. 2024,IEEE,IEEE Conferences
Survey on Predictive Algorithms to Detect Insider Threat on a Network Using Different Combination of Machine Learning Algorithms,F. Femi-Oyewole; V. Osamor; D. Okunbor,"Department of Computer and Information Sciences, Covenant University, Ota, Ogun State, Nigeria; Department of Computer and Information Sciences, Covenant University, Ota, Ogun State, Nigeria; Mathematics & Computer Science, Fayetteville State University, Fayetteville, California","2024 International Conference on Science, Engineering and Business for Driving Sustainable Development Goals (SEB4SDG)",15-Aug-24,2024,,,1,14,"This study explores the efficacy of predictive algorithms for insider threat detection in organizational networks. Leveraging machine learning and deep learning techniques, the research identifies state-of-the-art models and assesses challenges associated with scalability and imbalanced datasets. Following the Prisma International Standards methodology, 531 articles were initially retrieved, with 59 high-quality articles selected for detailed analysis. The findings reveal a multifaceted approach, with 58.8% proposing new models, 23.5% implementing and evaluating, and 17.6% lacking explicit metrics. SVM and RNNs emerged as frequently used algorithms, reflecting versatility and effectiveness in network traffic analysis for insider threat detection. The study provides insights into current trends, challenges, and potential avenues for future research in the realm of insider threat detection.",,979-8-3503-5815-5,10.1109/SEB4SDG60871.2024.10630366,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10630366,Anomaly detection;Cyber Security;Deep Learning;Insider Threats;Machine learning,Measurement;Adaptation models;Machine learning algorithms;Telecommunication traffic;Predictive models;Prediction algorithms;Feature extraction,,1,,54,IEEE,15-Aug-24,2-4 April 2024,2-4 April 2024,IEEE,IEEE Conferences
User Behavior Profiling using Ensemble Approach for Insider Threat Detection,M. Singh; B. M. Mehtre; S. Sangeetha,IDRBT and NIT-Trichy; IDRBT-Hyderabad; NIT-Trichy,"2019 IEEE 5th International Conference on Identity, Security, and Behavior Analysis (ISBA)",29-Jul-19,2019,,,1,8,"The greatest threat towards securing the organization and its assets are no longer the attackers attacking beyond the network walls of the organization but the insiders present within the organization with malicious intent. Existing approaches helps to monitor, detect and prevent any malicious activities within an organization's network while ignoring the human behavior impact on security. In this paper we have focused on user behavior profiling approach to monitor and analyze user behavior action sequence to detect insider threats. We present an ensemble hybrid machine learning approach using Multi State Long Short Term Memory (MSLSTM) and Convolution Neural Networks (CNN) based time series anomaly detection to detect the additive outliers in the behavior patterns based on their spatial-temporal behavior features. We find that using Multistate LSTM is better than basic single state LSTM. The proposed method with Multistate LSTM can successfully detect the insider threats providing the AUC of 0.9042 on train data and AUC of 0.9047 on test data when trained with publically available dataset for insider threats.",2640-0790,978-1-7281-0532-1,10.1109/ISBA.2019.8778466,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8778466,Cyber Security;Insider Threat Detection;User Behavior Profiling;Machine Learning;Time Series Anomaly Detection;Multistate Long Short Term Memory;Convolution Neural Network,Feature extraction;Neural networks;Organizations;Convolution;Servers;Monitoring;Machine learning,,27,,25,IEEE,29-Jul-19,22-24 Jan. 2019,22-24 Jan. 2019,IEEE,IEEE Conferences
Anomaly Detection with Graph Convolutional Networks for Insider Threat and Fraud Detection,J. Jiang; J. Chen; T. Gu; K. -K. R. Choo; C. Liu; M. Yu; W. Huang; P. Mohapatra,"School of Cyber Security, University of Chinese Academy of Sciences, Beijing, China; Department of Computer Science, University of California, Davis, CA, USA; Department of Computer Science, University of California, Davis, CA, USA; Department of Information Systems and Cyber Security, University of Texas at San Antonio, San Antonio, TX, USA; School of Cyber Security, University of Chinese Academy of Sciences, Beijing, China; School of Cyber Security, University of Chinese Academy of Sciences, Beijing, China; School of Cyber Security, University of Chinese Academy of Sciences, Beijing, China; Department of Computer Science, University of California, Davis, CA, USA",MILCOM 2019 - 2019 IEEE Military Communications Conference (MILCOM),5-Mar-20,2019,,,109,114,"Anomaly detection generally involves the extraction of features from entities' or users' properties, and the design of anomaly detection models using machine learning or deep learning algorithms. However, only considering entities' property information could lead to high false positives. We posit the importance of also considering connections or relationships between entities in the detecting of anomalous behaviors and associated threat groups. Therefore, in this paper, we design a GCN (graph convolutional networks) based anomaly detection model to detect anomalous behaviors of users and malicious threat groups. The GCN model could characterize entities' properties and structural information between them into graphs. This allows the GCN based anomaly detection model to detect both anomalous behaviors of individuals and associated anomalous groups. We then evaluate the proposed model using a real-world insider threat data set. The results show that the proposed model outperforms several state-of-art baseline methods (i.e., random forest, logistic regression, SVM, and CNN). Moreover, the proposed model can also be applied to other anomaly detection applications.",2155-7586,978-1-7281-4280-7,10.1109/MILCOM47813.2019.9020760,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9020760,Anomaly Detection;Graph Convolutional Networks;Insider Threat Detection;Fraud Detection,Anomaly detection;Machine learning;Feature extraction;Data models;Organizations;Image edge detection,,124,,18,IEEE,5-Mar-20,12-14 Nov. 2019,12-14 Nov. 2019,IEEE,IEEE Conferences
IGNISYL: Ai-Powered Insider Threat Detection System with Adaptive Firewall Control Using Multi-Domain Security Intelligence,A. Lekshmi; D. Mohan; R. Anand; S. G S; V. V,"Dept. of Computer Science and Engineering, Sree Buddha College of Engineering, Alappuzha, Kerala, India; Dept. of Computer Science and Engineering, Sree Buddha College of Engineering, Alappuzha, Kerala, India; Dept. of Computer Science and Engineering, Sree Buddha College of Engineering, Alappuzha, Kerala, India; Dept. of Computer Science and Engineering, Sree Buddha College of Engineering, Alappuzha, Kerala, India; Dept. of Computer Science and Engineering, Sree Buddha College of Engineering, Alappuzha, Kerala, India","2026 Sixth International Conference on Advances in Electrical, Computing, Communications and Sustainable Technologies (ICAECT)",13-Mar-26,2026,,,1,4,"Insider threats represent critical cybersecurity challenges in modern enterprises, originating from authenticated users with legitimate access privileges. Traditional static controls are insufficient to detect subtle behavioral deviations. This paper presents IGNISYL, an AI-powered insider threat detection system integrating hybrid anomaly detection (Isolation Forest + Autoencoder + XGBoost), contextual risk scoring, and adaptive firewall enforcement. We evaluate on synthetic enterprise data with realistic behavioral overlap, achieving 95.6% ensemble accuracy with 94.1% precision and 0.4% false positive rate. The system demonstrates competitive performance relative to traditional ML classifiers, while prioritizing low false positive rates for operational efficiency. The prototype achieves sub-500ms response time, enabling real-time threat neutralization with interpretable risk factors. Results are reported on synthetic enterprise data and represent prototype-level performance.",,979-8-3315-7322-5,10.1109/ICAECT68478.2026.11425945,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11425945,insider threat detection;anomaly detection;adaptive firewall;XGBoost;Isolation Forest;autoencoder;explainable AI;behavioral analytics,Adaptive systems;Accuracy;Firewalls (computing);Autoencoders;Forestry;Threat assessment;Real-time systems;Robustness;Time factors;Anomaly detection,,,,8,IEEE,13-Mar-26,8-9 Jan. 2026,8-9 Jan. 2026,IEEE,IEEE Conferences
