Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
2KGQ3RAW,journalArticle,2025,"Noura, Hassan N.; Yaacoub, Jean Paul A.; Salman, Ola; Chehab, Ali",Advanced Machine Learning in Smart Grids: An overview,Internet of Things and Cyber-Physical Systems,,2667-3452,10.1016/j.iotcps.2025.05.002,https://www.sciencedirect.com/science/article/pii/S2667345225000112,"Adopting Advanced Machine Learning for Smart Grids (ML-SG) is a promising strategy that revolutionizes the energy industry to optimize energy usage, improve grid management, and foster sustainability. It also increases the efficiency, reliability, and sustainability of contemporary power systems. Furthermore, incorporating machine learning into smart grids has important practical ramifications and can help address some of the most pressing issues facing contemporary energy systems. By precisely forecasting consumption trends and facilitating dynamic pricing models that take into account current grid circumstances, Machine Learning (ML) can improve demand response tactics. Additionally, it is essential for preserving grid stability since it can promptly identify irregularities and react to system oscillations, preventing blackouts and equipment failures. Furthermore, through supply and demand balance, energy dispatch optimization, and solar and wind power forecasts, ML makes it easier to seamlessly integrate renewable energy sources. These characteristics facilitate the shift to a more robust, adaptable, and ecologically friendly energy infrastructure in addition to increasing operating efficiency. In this paper, we investigate the development of ML solutions that benefit from the enormous amounts of data generated by IoT devices in the smart grid. Furthermore, this study examines the benefits and drawbacks of the adoption of ML-SG and offers an outline of their use while highlighting the implications of integrating ML into smart grids. In addition, it explores and analyzes how ML algorithms can be used for load forecasting and enabling accurate and real-time decision making in smart grids. The objective of this work is to analyze smart grid operations at different levels, such as predicting energy demand, identifying abnormalities, and reducing cybersecurity threats by using sophisticated ML-based algorithms, especially discussing attacks and countermeasures against these ML models. This work concludes with suggestions and recommendations that highlight the importance of improving the security and accuracy of ML-SG, while shedding some light on future directions. In the future, this work aims to contribute to the development of efficient ML solutions for energy infrastructure to become more effective and sustainable, by discussing data science and ML issues related to smart grids.",1/1/2025,23/3/2026 11:08,23/3/2026 11:08,,95-142,,,5,,Internet of Things and Cyber-Physical Systems,,,,,,,,,,,,,,,,,,,Smart grid; Big data; Deep learning smart energy systems; Machine learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y2FVX6QM,journalArticle,2024,"Nawshin, Faria; Unal, Devrim; Hammoudeh, Mohammad; Suganthan, Ponnuthurai N.",AI-powered malware detection with Differential Privacy for zero trust security in Internet of Things networks,Ad Hoc Networks,,1570-8705,10.1016/j.adhoc.2024.103523,https://www.sciencedirect.com/science/article/pii/S1570870524001343,"The widespread usage of Android-powered devices in the Internet of Things (IoT) makes them susceptible to evolving cybersecurity threats. Most healthcare devices in IoT networks, such as smart watches, smart thermometers, biosensors, and more, are powered by the Android operating system, where preserving the privacy of user-sensitive data is of utmost importance. Detecting Android malware is thus vital for protecting sensitive information and ensuring the reliability of IoT networks. This article focuses on AI-enabled Android malware detection for improving zero trust security in IoT networks, which requires Android applications to be verified and authenticated before providing access to network resources. The zero trust security model requires strict identity verification for every entity trying to access resources on a private network, regardless of whether they are inside or outside the network perimeter. Our proposed solution, DP-RFECV-FNN, an innovative approach to Android malware detection that employs Differential Privacy (DP) within a Feedforward Neural Network (FNN) designed for IoT networks under the zero trust model. By integrating DP, we ensure the confidentiality of data during the detection process, setting a new standard for privacy in cybersecurity solutions. By combining the strengths of DP and zero trust security with the powerful learning capacity of the FNN, DP-RFECV-FNN demonstrates the ability to identify both known and novel malware types and achieves higher accuracy while maintaining strict privacy controls compared with recent papers. DP-RFECV-FNN achieves an accuracy ranging from 97.78% to 99.21% while utilizing static features and 93.49% to 94.36% for dynamic features of Android applications to detect whether it is malware or benign. These results are achieved under varying privacy budgets, ranging from ϵ=0.1 to ϵ=1.0. Furthermore, our proposed feature selection pipeline enables us to outperform the state-of-the-art by significantly reducing the number of selected features and training time while improving accuracy. To the best of our knowledge, this is the first work to categorize Android malware based on both static and dynamic features through a privacy-preserving neural network model.",1/8/2024,23/3/2026 11:08,23/3/2026 11:08,,103523,,,161,,Ad Hoc Networks,,,,,,,,,,,,,,,,,,,Android malware detection; Differential Privacy; Malware category classification; Privacy budget; Privacy-preserving machine learning; Zero trust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37NFM3C4,bookSection,2025,"Etin-Osa, Deborah; Isitua, Chinwe Christy",Chapter 15 - Artificial intelliegence/machine learning techniques in the management of environmental issues,Integrated Biotechnological Solutions for the Treatment of Industrial Wastewater,978-0-443-23607-5,,10.1016/B978-0-443-23607-5.00008-8,https://www.sciencedirect.com/science/article/pii/B9780443236075000088,"Artificial intelligence (AI) has been used to manage huge volumes of complex data, analyze it, and simulate as near-reality response as possible with the information feed. Its’ offshoot, machine learning, is used to simulate and predict system behavior based on the results of its cognitive prompts generated by experience from data analyzed. In recent times, almost all the biotechnology research involves the use of databases in which AI is used to generate and analyze data. Specific algorithms are designed to fulfill a specific objective in the system of interest, giving a definitive scope and better perspective to researchers and end users. These could be in terms of satellite imaging to identify patterns and relationships not immediately apparent to humans, improve image-based diagnosis of a problem, analyze specific sensitive feeds from sensor technology devices, and analyze weather and habitat conditions vis-à-vis changes in the adaption of microecosystems, nitrogen cycle, and carbon cycle. Real-time data analysis, monitoring of wastewater trail, tracking associated air quality, and measuring other environmental footprints can be achieved more easily using algorithms designed with AI and machine learning tools and software. Here, we outline the applications of AI and machine learning tools in wastewater management.",1/1/2025,23/3/2026 11:08,23/3/2026 11:08,,487-525,,,,,,,,,,,Elsevier,,,,,,,,,,,,,artificial intelligence; machine learning; algorithms; modeling; monitoring and prediction; Neutral networks; satellite imaging; sensor technology,,"Dwivedi, Naveen; Dwivedi, Shubha; Shah, Maulin P.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QWDSVSG5,bookSection,2021,"Paliwal, Shweta; Bharti, Vishal; Mishra, Amit Kumar",Chapter 9 - Changing the outlook of security and privacy with approaches to deep learning,Trends in Deep Learning Methodologies,978-0-12-822226-3,,10.1016/B978-0-12-822226-3.00009-X,https://www.sciencedirect.com/science/article/pii/B978012822226300009X,"Today, overwhelming expansion in the usage of Internet of Things-based devices has opened the way to new security threats and vulnerabilities globally. Ranging from public to private organizations and financial to healthcare organizations, none have been spared the impact of cyber attacks. The development of digitalization and the outbreak of data analytics have increased the risk of security attacks because high-profile organizations are becoming soft targets for attackers and intruders. Hence, there is now a need to look at the issue of cyber security and to combat these highly synchronized attacks by using machine learning and deep learning, which are derived from their parent artificial intelligence. The term deep learning marked its presence in 1943 when a model based on neural networks of the human brain was launched, and today deep learning has made an impression in the field of computer vision and natural language processing. Deep learning is said to be a broader aspect of machine learning that is based on neural networks. Today, models based on deep learning algorithms are successfully combating attacks related to malware, phishing attacks, and other modern security attacks. Deep learning is helping to constantly monitor anomalies in a network and provides detection of malware in encrypted traffic. This chapter will unfold the brief history of deep learning followed by the emergence of artificial neural networks. It will also explain the algorithms of deep learning and how artificial neural networks are combating security attacks. The chapter will also describe the recent trends and models that have been developed to mitigate the effects of security attacks based on deep learning along with future scope. The impact of deep learning in cyber security has not yet reached its full extent but is on its way to creating possible new vectors for the mitigation of modern-day threats.",1/1/2021,23/3/2026 11:08,23/3/2026 11:08,,207-226,,,,,,,,,,,Academic Press,,,,,,,,,,,,,Deep learning; Cyber security; CNN; Deep neural networks; Internet-of-Things; RNN,,"Piuri, Vincenzo; Raj, Sandeep; Genovese, Angelo; Srivastava, Rajshree",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMK4K2WT,journalArticle,2023,"Hong, Wei; Yin, Jiao; You, Mingshan; Wang, Hua; Cao, Jinli; Li, Jianxin; Liu, Ming; Man, Chengyuan",A graph empowered insider threat detection framework based on daily activities,ISA Transactions,,0019-0578,10.1016/j.isatra.2023.06.030,https://www.sciencedirect.com/science/article/pii/S0019057823002975,"While threats from outsiders are easier to alleviate, effective ways seldom exist to handle threats from insiders. The key to managing insider threats lies in engineering behavioral features efficiently and classifying them correctly. To handle challenges in feature engineering, we propose an integrated feature engineering solution based on daily activities, combining manually-selected features and automatically-extracted features together. Particularly, an LSTM auto-encoder is introduced for automatic feature engineering from sequential activities. To improve detection, a residual hybrid network (ResHybnet) containing GNN and CNN components is also proposed along with an organizational graph, taking a user-day combination as a node. Experimental results show that the proposed LSTM auto-encoder could extract hidden patterns from sequential activities efficiently, improving F1 score by 0.56%. Additionally, with the designed residual link, our ResHybnet model works well to boost performance and has outperformed the best of other models by 1.97% on the same features. We published our code on GitHub: https://github.com/Wayne-on-the-road/ResHybnet.",1/10/2023,23/3/2026 11:08,23/3/2026 11:08,,84-92,,,141,,ISA Transactions,,,,,,,,,,,,,,,,,,,Graph neural networks; Insider threat; LSTM auto-encoder; Sequential activity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFZ5HMXF,journalArticle,2024,"Liu, Yifan; Li, Shancang; Wang, Xinheng; Xu, Li",A Review of Hybrid Cyber Threats Modelling and Detection Using Artificial Intelligence in IIoT,CMES - Computer Modeling in Engineering and Sciences,,1526-1492,10.32604/cmes.2024.046473,https://www.sciencedirect.com/science/article/pii/S1526149224000122,"The Industrial Internet of Things (IIoT) has brought numerous benefits, such as improved efficiency, smart analytics, and increased automation. However, it also exposes connected devices, users, applications, and data generated to cyber security threats that need to be addressed. This work investigates hybrid cyber threats (HCTs), which are now working on an entirely new level with the increasingly adopted IIoT. This work focuses on emerging methods to model, detect, and defend against hybrid cyber attacks using machine learning (ML) techniques. Specifically, a novel ML-based HCT modelling and analysis framework was proposed, in which L1 regularisation and Random Forest were used to cluster features and analyse the importance and impact of each feature in both individual threats and HCTs. A grey relation analysis-based model was employed to construct the correlation between IIoT components and different threats.",20/5/2024,23/3/2026 11:08,23/3/2026 11:08,,1233-1261,,2,140,,CMES - Computer Modeling in Engineering and Sciences,,,,,,,,,,,,,,,,,,,artificial intelligence; Cyber security; hybrid cyber threats; Industrial Internet of Things; machine learning algorithms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WG6F6EWU,journalArticle,2025,"Jaber, Majed; Michel, Julien; Boutry, Nicolas; Parrend, Pierre",Cyberattack detection through GPML: Graph Processing for Machine Learning,SoftwareX,,2352-7110,10.1016/j.softx.2025.102308,https://www.sciencedirect.com/science/article/pii/S2352711025002742,"The dramatic increase of complex, multi-step, and rapidly evolving attacks in dynamic networks involves advanced cyber-threat detectors. The GPML (Graph Processing for Machine Learning) library addresses this need by transforming raw network traffic traces into graph representations, enabling advanced insights into network behaviors. The library provides tools to detect anomalies in interaction and community shifts in dynamic networks. GPML supports community and spectral metrics extraction, enhancing both real-time detection and historical forensics analysis. This library supports modern cybersecurity challenges with a robust, graph-based approach.",1/9/2025,23/3/2026 11:08,23/3/2026 11:08,,102308,,,31,,SoftwareX,,,,,,,,,,,,,,,,,,,Machine learning; Attack detection; Graph communities; Graph processing; Python-based library; Spectral graph analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82EBJJKH,journalArticle,2021,"Wei, Yichen; Chow, Kam-Pui; Yiu, Siu-Ming",Insider threat prediction based on unsupervised anomaly detection scheme for proactive forensic investigation,Forensic Science International: Digital Investigation,,2666-2817,10.1016/j.fsidi.2021.301126,https://www.sciencedirect.com/science/article/pii/S266628172100024X,"The complexity, concealment and infrequency of malicious internal actions make it difficult to detect insider threats. In the process of traditional reactive forensic investigation, analysis and interpretation of the digital evidence are performed after a crime has been committed. Even if insiders can be detected, they have already caused huge damage. In this paper, we propose a novel general unsupervised anomaly detection scheme based on cascaded autoencoders (CAEs) and joint optimization network. Our core idea is to utilize CAEs to do data purification among unlabeled digital evidence, then jointly optimize the dimension reduction and density estimation network to avoid sub-optimal problems. Based on this scheme, we design an end-to-end insider threat prediction framework for proactive forensic investigation, through which we can make real time response to prevent the harmful influences of insider threats in advance. We extract the tractable and scalable feature representation automatically through the data driven Bidirectional Long Short-Term Memory (BiLSTM) feature extractor, waiving the time-consuming and customarily expert dependable feature engineering work. Additionally, a hypergraph correction module is applied to solve the commonly existed relatively high false positive rate problem in insider threat detection. We evaluate our scheme and framework on public benchmark datasets. The empirical experiments demonstrate that our models outperform state-of-the-art unsupervised methods.",1/10/2021,23/3/2026 11:08,23/3/2026 11:08,,301126,,,38,,Forensic Science International: Digital Investigation,,,,,,,,,,,,,,,,,,,Autoencoder; Hypergraph; Insider threat prediction; Proactive forensic investigation; Unsupervised deep learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KXJJA436,journalArticle,2026,"Sudha, R; Premkumar, M",Securing wireless sensor networks: A survey of challenges and innovations,Franklin Open,,2773-1863,10.1016/j.fraope.2025.100470,https://www.sciencedirect.com/science/article/pii/S2773186325002555,"WSNs are a significant component of the modern technology systems. They find application in numerous sectors such as environmental monitoring, health care, agriculture and intelligent constructions. Although they possess low power, have low processing capacity and can readily be influenced by unsafe environments, they are still very important. They are therefore usually the victims of various forms of security threats as a result of that. The more advanced these threats become, the higher is the need to have strong and flexible security measures. The survey examines a broad spectrum of studies on the security of WSN. It encompasses numerous fields, such as how to transmit data safely, how to deal with keys, trust and reputation management systems and how to check and authenticate users. It also considers novel concepts such as applying blockchain and machine learning to identify security problems. Some of the studies in the research are based on straightforward solutions that can be applied effectively with the available limited resources of WSNs, whereas others attempt to achieve the balance between security and efficiency. Despite these developments, there are issues. The solutions are mostly energy consuming or are rigid to adapt to changing network conditions. The disconnect between the concepts in studies and their practical implementation is also present, in particular, the use of complex technologies, such as AI, in practice. This review aims to unite significant conclusions of the recent research, to emphasize the main issues that are not resolved yet, and to propose the useful directions in the further investigations. This survey provides an up-to-date and clear image of the current trends in WSN security, as it allows the researcher and developers to develop more efficient and profound strategies on how to make the system stronger and more reliable.",1/3/2026,23/3/2026 11:08,23/3/2026 11:08,,100470,,,14,,Franklin Open,,,,,,,,,,,,,,,,,,,Intrusion detection; Deep learning; Cyber security; Optimization algorithms; Real-time monitoring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VMIND6DY,journalArticle,2026,"ALGUL, Enes; DOĞAN, Ferdi; Ahmad, Ahmad Ayid; POLAT, Onur",SCADANet: A novel dataset for SCADA cybersecurity and intrusion detection,Computer Networks,,1389-1286,10.1016/j.comnet.2026.112087,https://www.sciencedirect.com/science/article/pii/S138912862600099X,"This paper presents SCADANet, a new dataset tailored for cybersecurity research in Supervisory Control and Data Acquisition (SCADA) systems. SCADA systems are critical for automating essential infrastructure sectors, including energy, water, manufacturing, and transportation. However, their open network architectures, outdated software, and inadequate access controls expose them to cyber threats, risking service disruptions, physical damage, and threats to human safety and economic stability. To address these challenges, advanced cyber-physical security solutions are essential. In this study, we generated a virtual SCADA network using the Modbus/TCP protocol and simulated both typical and SCADA-specific cyberattacks alongside normal network traffic. The resulting data was captured and analyzed using Wireshark, TShark, and JA4+ tools, then stored in a structured, multi-layered, labelled CSV format. SCADANet was employed to train a deep learning-based intrusion detection system, utilizing proposed DeepNonLocalNN model, which achieved high accuracy by leveraging both local and global traffic patterns. With its comprehensive protocol coverage, realistic traffic scenarios, and open-access design, SCADANet serves as a valuable resource for advancing SCADA security research and makes a significant contribution to the field.",1/4/2026,23/3/2026 11:08,23/3/2026 11:08,,112087,,,278,,Computer Networks,,,,,,,,,,,,,,,,,,,Cybersecurity; Intrusion detection; Deep learning; Industrial control systems; SCADA; SCADANet dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
