"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"SBFRWUEN","journalArticle","2026","Gökstorp, Simon; Katsikeas, Sotirios; Johnson, Pontus","Machine Learning for Cybersecurity: A Comprehensive Literature Review","ACM Comput. Surv.","","","","https://doi-org.ezproxy.utm.my/10.1145/3796543","","2026","2026-03-16 04:15:43","2026-03-16 04:15:43","","Article 243","","9","58","","","","","","","","Association for Computing Machinery","","","","","","","","","ISBN: 0360-0300 Type: 10.1145/3796543","","","","Cybersecurity, Clustering, Systematic Literature Review","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3YEUR4ML","conferencePaper","2018","Brown, Andy; Tuor, Aaron; Hutchinson, Brian; Nichols, Nicole","Recurrent Neural Network Attention Mechanisms for Interpretable System Log Anomaly Detection","Proceedings of the First Workshop on Machine Learning for Computing Systems","978-1-4503-5865-1","","","https://doi-org.ezproxy.utm.my/10.1145/3217871.3217872","","2018","2026-03-16 04:15:43","2026-03-16 04:15:43","","Article 1","","","","","","","","","","","Association for Computing Machinery","Tempe, AZ, USA","","","","","","","","Type: 10.1145/3217871.3217872","","","","Anomaly detection, Attention, Interpretable Machine Learning, Online Training, Recurrent Neural Networks, System Log Analysis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"43VTBVLU","book","2023","","Proceedings of the 2023 4th International Conference on Machine Learning and Computer Application","","979-8-4007-0944-9","","","","","2023","2026-03-16 04:15:43","2026-03-16 04:15:43","","","","","","","","","","","","","Association for Computing Machinery","Hangzhou, China","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5KJ353WF","conferencePaper","2019","Arendt, Dustin; Saldanha, Emily; Wesslen, Ryan; Volkova, Svitlana; Dou, Wenwen","Towards rapid interactive machine learning: evaluating tradeoffs of classification without representation","Proceedings of the 24th International Conference on Intelligent User Interfaces","978-1-4503-6272-6","","","https://doi-org.ezproxy.utm.my/10.1145/3301275.3302280","","2019","2026-03-16 04:15:43","2026-03-16 04:15:43","","591–602","","","","","","","","","","","Association for Computing Machinery","Marina del Ray, California","","","","","","","","Type: 10.1145/3301275.3302280","","","","active learning, hierarchical clustering, interactive machine learning, representation-free classifier, transduction learning, visual interactive labeling","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MY2B9CRQ","book","2020","","Proceedings of the 2020 Workshop on DYnamic and Novel Advances in Machine Learning and Intelligent Cyber Security","","978-1-4503-8714-9","","","","","2020","2026-03-16 04:15:43","2026-03-16 04:15:43","","","","","","","","","","","","","Association for Computing Machinery","Lexington, MA, USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3QX3K933","journalArticle","2024","Buchta, Robin; Gkoktsis, George; Heine, Felix; Kleiner, Carsten","Advanced Persistent Threat Attack Detection Systems: A Review of Approaches, Challenges, and Trends","Digital Threats","","","","https://doi-org.ezproxy.utm.my/10.1145/3696014","","2024","2026-03-16 04:15:43","2026-03-16 04:15:43","","Article 39","","4","5","","","","","","","","Association for Computing Machinery","","","","","","","","","Type: 10.1145/3696014","","","","Cybersecurity, APT, attack detection, machine learning, artificial intelligence","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JYLPVRWP","journalArticle","2022","Zipperle, Michael; Gottwalt, Florian; Chang, Elizabeth; Dillon, Tharam","Provenance-based Intrusion Detection Systems: A Survey","ACM Comput. Surv.","","","","https://doi-org.ezproxy.utm.my/10.1145/3539605","","2022","2026-03-16 04:15:43","2026-03-16 04:15:43","","Article 135","","7","55","","","","","","","","Association for Computing Machinery","","","","","","","","","ISBN: 0360-0300 Type: 10.1145/3539605","","","","Intrusion detection, data provenance, graph summarization, machine learning, benchmark dataset, survey","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LJ8SSB75","journalArticle","2023","Zhou, Dawei; He, Jingrui","Rare Category Analysis for Complex Data: A Review","ACM Comput. Surv.","","","","https://doi-org.ezproxy.utm.my/10.1145/3626520","","2023","2026-03-16 04:15:43","2026-03-16 04:15:43","","Article 123","","5","56","","","","","","","","Association for Computing Machinery","","","","","","","","","ISBN: 0360-0300 Type: 10.1145/3626520","","","","Rare category analysis, imbalanced data distribution, anomaly detection","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ESF879U7","journalArticle","2020","Kul, Gökhan; Upadhyaya, Shambhu; Hughes, Andrew","An Analysis of Complexity of Insider Attacks to Databases","ACM Trans. Manage. Inf. Syst.","","","","https://doi-org.ezproxy.utm.my/10.1145/3391231","","2020","2026-03-16 04:15:43","2026-03-16 04:15:43","","Article 4","","1","12","","","","","","","","Association for Computing Machinery","","","","","","","","","ISBN: 2158-656X Type: 10.1145/3391231","","","","Complexity analysis, insider threat, query intent, query logs, threat modeling","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2K9XJF46","journalArticle","2023","Nafees, Muhammad Nouman; Saxena, Neetesh; Cardenas, Alvaro; Grijalva, Santiago; Burnap, Pete","Smart Grid Cyber-Physical Situational Awareness of Complex Operational Technology Attacks: A Review","ACM Comput. Surv.","","","","https://doi-org.ezproxy.utm.my/10.1145/3565570","","2023","2026-03-16 04:15:43","2026-03-16 04:15:43","","Article 215","","10","55","","","","","","","","Association for Computing Machinery","","","","","","","","","ISBN: 0360-0300 Type: 10.1145/3565570","","","","Smart grid, threat modeling, complex cyber-physical attacks, operational technology attacks, intrusion detection system, deep learning, federated learning, moving target defense, co-simulation, situational awareness, metrics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
