Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
Matos M.; Gomes F.; Nogueira F.; Almeida F.,"Matos, Mafalda (60249081600); Gomes, Filipe (59522110500); Nogueira, Fernando (60248943300); Almeida, Fernando (36599853700)",60249081600; 59522110500; 60248943300; 36599853700,Energy-efficient meta-classifier model for log access anomaly detection in healthcare systems,2025,International Journal of Intelligent Computing and Cybernetics,,,,1,20,0,10.1108/IJICC-08-2025-0548,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105025411819&doi=10.1108%2FIJICC-08-2025-0548&partnerID=40&md5=f8318a804c2b429ccbfbda0e9baa94f4,"Purpose – Detecting anomalous access to electronic health records (EHRs) is critical for safeguarding patient privacy and ensuring compliance with healthcare regulations. Traditional anomaly detection methods often struggle in this domain due to extreme class imbalance, limited labelled data and the subtlety of insider threats. This study proposes a lightweight, hybrid anomaly detection framework that integrates unsupervised, supervised and rule-based approaches using a meta-classifier architecture. Design/methodology/approach – An experimental and model-development approach is employed, combining machine learning techniques with domain-inspired rule modelling to construct a hybrid anomaly detection framework for healthcare access logs. Performance of the algorithm is measured using standard classification metrics such as precision, recall, F1-score and accuracy. Findings – Evaluated on a synthetic but realistic dataset of 50.000 normal and 500 labelled anomalous healthcare access events, the proposed framework achieved superior performance compared to standalone models as well as other hybrid models, with an F1-score of 0.8989 and recall of 0.8180. It also maintained low inference latency (0.028 ms) and energy consumption (4.03e−07 kg CO2), making it suitable for deployment in resource-constrained clinical environments. Originality/value – This study highlights the potential of a hybrid meta-classifier to enhance anomaly detection in healthcare access logs, capturing both subtle and obvious anomalies while outperforming conventional models and remaining efficient, scalable and practical for real-time monitoring. © 2025 Mafalda Matos, Filipe Gomes, Fernando Nogueira and Fernando Almeida",Anomaly detection; Healthcare access logs; Hybrid model; Meta-classifier,,Article,Article in press,,Scopus,2-s2.0-105025411819
Chung M.-H.; Yang Y.; Wang L.; Cento G.; Jerath K.; Raman A.; Lie D.; Chignell M.H.,"Chung, Mu-Huan (57221335578); Yang, Yuhong (58141389100); Wang, Lu (57190128259); Cento, Greg (58091884700); Jerath, Khilan (58091319200); Raman, Abhay (57221328211); Lie, David (7003319729); Chignell, Mark H. (7004468008)",57221335578; 58141389100; 57190128259; 58091884700; 58091319200; 57221328211; 7003319729; 7004468008,Implementing Data Exfiltration Defense in Situ: A Survey of Countermeasures and Human Involvement,2023,ACM Computing Surveys,55,14 s,303,,,14,10.1145/3582077,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168801597&doi=10.1145%2F3582077&partnerID=40&md5=e178d7a007fc571035de03805929944a,"In this article we consider the problem of defending against increasing data exfiltration threats in the domain of cybersecurity. We review existing work on exfiltration threats and corresponding countermeasures. We consider current problems and challenges that need to be addressed to provide a qualitatively better level of protection against data exfiltration. After considering the magnitude of the data exfiltration threat, we outline the objectives of this article and the scope of the review. We then provide an extensive discussion of present methods of defending against data exfiltration. We note that current methodologies for defending against data exfiltration do not connect well with domain experts, both as sources of knowledge and as partners in decision-making. However, human interventions continue to be required in cybersecurity. Thus, cybersecurity applications are necessarily socio-technical systems that cannot be safely and efficiently operated without considering relevant human factor issues. We conclude with a call for approaches that can more effectively integrate human expertise into defense against data exfiltration. © 2023 Copyright held by the owner/author(s). Publication rights licensed to ACM.",cybersecurity countermeasures; Exfiltration threats; human factors; human-computer interaction; insider threats; machine learning,Cybersecurity; Decision making; Human engineering; Machine learning; Network security; Current problems; Cyber security; Cybersecurity countermeasure; Data exfiltration; Exfiltration; Exfiltration threat; Insider Threat; Levels of protections; Machine-learning; Problems and challenges; Human computer interaction,Article,Final,,Scopus,2-s2.0-85168801597
Qawasmeh S.A.-D.; AlQahtani A.A.S.,"Qawasmeh, Saif Al-Dean (58858680500); AlQahtani, Ali Abdullah S. (57216315081)",58858680500; 57216315081,Beyond Firewall: Leveraging Machine Learning for Real-Time Insider Threats Identification and User Profiling,2025,Future Internet,17,2,93,,,2,10.3390/fi17020093,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218638480&doi=10.3390%2Ffi17020093&partnerID=40&md5=63822cc95226b81ff37ad38558f6ba41,"Insider threats pose a significant challenge to organizational cybersecurity, often leading to catastrophic financial and reputational damages. Traditional tools such as firewalls and antivirus systems lack the sophistication needed to detect and mitigate these threats in real time. This paper introduces a machine learning-based system that integrates real-time anomaly detection with dynamic user profiling, enabling the classification of employees into categories of low, medium, and high risk. The system was validated using a synthetic dataset, achieving exceptional accuracy across machine learning models, with XGBoost emerging as the most effective. © 2025 by the authors.",anomaly detection; dynamic profiling; insider threats; machine learning; real-time detection; risk assessment; user behavior classification,Computer system firewalls; Contrastive Learning; Risk assessment; Anomaly detection; Behaviour classification; Dynamic Profiling; Insider Threat; Machine-learning; Real- time; Real-time detection; Risks assessments; User behavior classification; User behaviors; Adversarial machine learning,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85218638480
Sulaiman M.; Khan A.; Ali A.N.; Laouini G.; Alshammari F.S.,"Sulaiman, Muhammad (57212956089); Khan, Awais (58663706500); Ali, Addisu Negash (57196481629); Laouini, Ghaylen (57217147812); Alshammari, Fahad Sameer (56426929700)",57212956089; 58663706500; 57196481629; 57217147812; 56426929700,Quantitative Analysis of Worm Transmission and Insider Risks in Air-Gapped Networking Using a Novel Machine Learning Approach,2023,IEEE Access,11,,,111034,111052,4,10.1109/ACCESS.2023.3322924,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174841561&doi=10.1109%2FACCESS.2023.3322924&partnerID=40&md5=7e97136ad0569f351a82f4391144f3c9,"Researchers and practitioners in the fields of science and engineering encounter significant challenges when it comes to mitigating the proliferation of computer worms, owing to their rapid spread within computer and communication networks. This study delves into a comprehensive analysis of the mathematical model governing the hazard of worm propagation in such networks. Specifically, the mathematical framework employed herein encompasses a system of ordinary differential equations. In numerous instances, mathematical models have been employed to quantitatively investigate the propagation patterns of worms across computer networks. In this scholarly article, we present an enhanced Susceptible-Exposed-Infected-Quarantined-Vaccinated (SEIQV) model, denoted as Susceptible-Exposed-Infected-Quarantined-Patched (SEIQP), which effectively captures the dissemination dynamics of an insider threat within a network featuring air gaps. To facilitate the study, we leverage the power of feedforward neural networks that are trained using the backpropagated Levenberg-Marquardt optimization algorithm. These neural networks serve as surrogate tools, providing solutions to the SEIQP model. To evaluate the efficacy of our approach, we meticulously assess their performance across three distinct scenarios. Additionally, the stability of the mathematical model is examined by manipulating the probability of an insider threat removing a patch from the host, denoted as $\eta $. Our empirical findings conclusively establish the effectiveness of the proposed approach in addressing the intricate challenges associated with insider threats within network environments.  © 2013 IEEE.",anti-virus; artificial neural networks; insider threat; machine learning; numerical solutions; optimization algorithm; patching; SEIQV model; surrogate solutions; system of differential equations,Computer viruses; Feedforward neural networks; Learning systems; Numerical models; Optimization; Ordinary differential equations; Risk assessment; Anti virus; Antivirus softwares; Epidemic; Insider Threat; Machine-learning; Neural-networks; Numerical solution; Optimization algorithms; Patching; Surrogate solution; Susceptible-exposed-infected-quarantined-vaccinated model; System of differential equations; Wireless sensor networks,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85174841561
Anakath A.S.; Kannadasan R.; Joseph N.P.; Boominathan P.; Sreekanth G.R.,"Anakath, A.S. (57195713425); Kannadasan, R. (57475031100); Joseph, Niju P. (36104228300); Boominathan, P. (57562843700); Sreekanth, G.R. (57211025955)",57195713425; 57475031100; 36104228300; 57562843700; 57211025955,Insider attack detection using deep belief neural network in cloud computing,2022,Computer Systems Science and Engineering,41,2,,479,492,18,10.32604/csse.2022.019940,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118995555&doi=10.32604%2Fcsse.2022.019940&partnerID=40&md5=3e8fdc04dac70e67303e4f879f98f86e,"Cloud computing is a high network infrastructure where users, owners, third users, authorized users, and customers can access and store their information quickly. The use of cloud computing has realized the rapid increase of information in every field and the need for a centralized location for processing efficiently. This cloud is nowadays highly affected by internal threats of the user. Sensitive applications such as banking, hospital, and business are more likely affected by real user threats. An intruder is presented as a user and set as a member of the network. After becoming an insider in the network, they will try to attack or steal sensitive data during information sharing or conversation. The major issue in today's technological development is identifying the insider threat in the cloud network. When data are lost, compromising cloud users is difficult. Privacy and security are not ensured, and then, the usage of the cloud is not trusted. Several solutions are available for the external security of the cloud network. However, insider or internal threats need to be addressed. In this research work, we focus on a solution for identifying an insider attack using the artificial intelligence technique. An insider attack is possible by using nodes of weak users’ systems. They will log in using a weak user id, connect to a network, and pretend to be a trusted node. Then, they can easily attack and hack information as an insider, and identifying them is very difficult. These types of attacks need intelligent solutions. A machine learning approach is widely used for security issues. To date, the existing lags can classify the attackers accurately. This information hijacking process is very absurd, which motivates young researchers to provide a solution for internal threats. In our proposed work, we track the attackers using a user interaction behavior pattern and deep learning technique. The usage of mouse movements and clicks and keystrokes of the real user is stored in a database. The deep belief neural network is designed using a restricted Boltzmann machine (RBM) so that the layer of RBM communicates with the previous and subsequent layers. The result is evaluated using a Cooja simulator based on the cloud environment. The accuracy and F-measure are highly improved compared with when using the existing long short-term memory and support vector machine. © 2022 CRL Publishing. All rights reserved.",Cloud computing; Deep belief neural network; Insider attack; Network security; Privacy; Security; User interaction behavior,Behavioral research; Cloud computing; Deep neural networks; Mammals; Multilayer neural networks; Support vector machines; Trusted computing; Cloud networks; Cloud-computing; Deep belief neural network; Insider attack; Networks security; Neural-networks; Privacy; Restricted boltzmann machine; Security; User interaction behavior; Network security,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85118995555
Mahmoudi-Nasr P.,"Mahmoudi-Nasr, Payam (56483175500)",56483175500,An authorization framework to mitigate insider threat in CIM-based smart grid,2024,"Sustainable Energy, Grids and Networks",40,,101572,,,1,10.1016/j.segan.2024.101572,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85209932013&doi=10.1016%2Fj.segan.2024.101572&partnerID=40&md5=592971374034e25177721ea2500ba5bb,"A smart grid (SG) is based on integrated data from distributed information systems, and the common information model (CIM) provides standard data infrastructure. In the SG, a malicious insider operator can lead to widespread failures in the power system by disrupting the system processes. The severity of the attack increases when he/she can access integrated data with legal permissions and steal, delete or modify them. This paper proposes an authorization framework to mitigate data access permissions of an insider operator who does not perform its duties properly in a CIM-based SG. In the proposed method, the accessibility of a CIM class is determined based on the operator trust and the criticality level of the issued SQL command. The value of the operator trust is calculated using its performance periodically or when an anomaly is detected. The proposed method is also able to detect anomalies in operator performance. © 2024 Elsevier Ltd",Access control; Anomaly detection; CIM; Smart grid,Anomaly detection; Authorization frameworks; Common information model; Data infrastructure; Distributed information systems; Information Modeling; Insider Threat; Integrated data; Model-based OPC; Smart grid,Article,Final,,Scopus,2-s2.0-85209932013
Wall A.; Agrafiotis I.,"Wall, Alexander (57312532900); Agrafiotis, Ioannis (39161040000)",57312532900; 39161040000,A bayesian approach to insider threat detection,2021,"Journal of Wireless Mobile Networks, Ubiquitous Computing, and Dependable Applications",12,2,,48,84,9,10.22667/JOWUA.2021.06.30.048,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117952855&doi=10.22667%2FJOWUA.2021.06.30.048&partnerID=40&md5=967c9d54f6e4d9e7f46b3f103d9a394a,"Insider attacks are an ever-increasing threat for organizations, with dire consequences. Rogue employees who possess legitimate access to systems, and knowledge of security policies and monitoring practices of organizations, can evade detection. Organizations remain ill-equipped in detecting, deterring and mitigating sophisticated insider attacks, as traditional security controls and detection systems are tailored to external threats. Literature on insider threat detection provides the theoretical foundation to understand the motives, behavior and patterns of insider attacks. The majority of proposed models for insider threat anomaly detection, mainly focus on processing network data. In this paper, we propose and evaluate a Bayesian Network architecture that can consider behavioral aspects in tandem with network data. Our system utilizes machine learning to understand the structure of the data, inputs specially crafted features based on theoretical foundations of insider threat and enables analysts to consider behavioral features, if such data is available. We applied our system on CMU’s synthetic dataset and our results provide justified and informed decisions on selecting parameters for Bayesian Networks and suggest that such an approach is highly effective. All attacks in the dataset were identified, with a very low number of false positives. © 2021, Innovative Information Science and Technology Research Group. All rights reserved.",Bayesian networks; Behavioral analysis; Insider threat detection,,Article,Final,,Scopus,2-s2.0-85117952855
Jaiswal A.; Dwivedi P.; Dewang R.K.,"Jaiswal, Ayshwarya (57216786313); Dwivedi, Pragya (54787541500); Dewang, Rupesh Kumar (57188724176)",57216786313; 54787541500; 57188724176,Handling imbalance dataset issue in insider threat detection using machine learning methods,2024,Computers and Electrical Engineering,120,,109726,,,4,10.1016/j.compeleceng.2024.109726,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205314377&doi=10.1016%2Fj.compeleceng.2024.109726&partnerID=40&md5=2187ab56ded2e6b9726c2a5693abee45,"Insider threats, characterized by their baleful impact and substantial costs, arise from internal factors within organizations. These threats are rare and usually unnoticed, as the malicious actions are often submerged in numerous normal activities, causing dataset imbalance and making detection hard. To address these challenges, in this paper we propose a Two-Step Insider Threat Detection (TSITD) approach. First, it preprocesses the CERT r4.2 and r5.2 datasets into day-long sequences. Second, it handles the dataset imbalance and detects threats by forming various combinations of sampling techniques and classifiers, referred to as TSITD models. When we compare these TSITD models to baseline models, we observe a significant improvement in anomaly detection rate and balanced accuracy. The TSITD models also achieve higher rankings when evaluated using the Technique for Order of Preference by Similarity to Ideal Solution (TOPSIS) method. © 2024 Elsevier Ltd",Feature engineering; Imbalance data; Insider threat detection; Machine learning; Sampling,Contrastive Learning; Detection approach; Detection models; Feature engineerings; Imbalance data; Insider Threat; Insider threat detections; Internal factors; Machine learning methods; Machine-learning; Preprocess; Adversarial machine learning,Article,Final,,Scopus,2-s2.0-85205314377
El-Ghaish H.; Miqrish H.; Elmogy A.; Elawady W.,"El-Ghaish, Hany (57202303360); Miqrish, Haitham (58539038900); Elmogy, Ahmed (35731342700); Elawady, Wael (36782004400)",57202303360; 58539038900; 35731342700; 36782004400,An adaptive nonlinear whale optimization multi-layer perceptron cyber intrusion detection framework,2024,International Journal of Machine Learning and Cybernetics,15,10,,4801,4814,8,10.1007/s13042-024-02193-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192567359&doi=10.1007%2Fs13042-024-02193-5&partnerID=40&md5=0c9d9a95cff29841a58218506bab8254,"The increasing prevalence of cyber threats has created a critical need for robust defense against such incidents. Many Cyber Intrusion Detection Systems (CIDSs), utilizing machine learning have been developed for this purpose. Although, these recent CIDSs have provided the capability to analyze vast amounts of data and identify malicious activities, there are still challenges to be tackled to enhance their effectiveness. The exponential growth of the search space is one of these challenges which makes finding an optimal solution computationally infeasible for large datasets. Furthermore, the weight space while searching for optimal weight is highly nonlinear. Motivated by the observed characteristics, complexities, and challenges in the field, this paper presents an innovative (CIDS) named ANWO-MLP (Adaptive Nonlinear Whale Optimization Multi-layer Perceptron). A novel feature selection method called ANWO-FS (Adaptive Nonlinear Whale Optimization-Feature Selection) is employed in the proposed CIDS to identify the most predictive features enabling robust MLP training even in the highly nonlinear weight spaces. The insider threat detection process is improved by investigating vital aspects of CIDS, including data processing, initiation, and output handling. We adopt ANWOA (previously proposed by us) to mitigate local stagnation, enable rapid convergence, optimize control parameters, and handle multiple objectives by initializing the weight vector in the ANWO-MLP training with minimal mean square error. Experiments conducted on three highly imbalanced datasets demonstrate an average efficacy rate of 98.33%. The details of the results below show the robustness, stability, and efficiency of the proposed ANWO-MLP compared to existing approaches. © The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, part of Springer Nature 2024.",Feature selection; Machine learning; Network intrusion detection; WOA,Intrusion detection; Large datasets; Mean square error; Cyber intrusion; Detection framework; Features selection; Intrusion Detection Systems; Intrusion-Detection; Machine-learning; Multilayers perceptrons; Network intrusion detection; Optimisations; WOA; Feature Selection,Article,Final,,Scopus,2-s2.0-85192567359
Ali B.; Chen G.,"Ali, Basharat (59897265200); Chen, Guihai (7406537386)",59897265200; 7406537386,Next-generation AI for advanced threat detection and security enhancement in DNS over HTTPS,2025,Journal of Network and Computer Applications,244,,104326,,,7,10.1016/j.jnca.2025.104326,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105019223438&doi=10.1016%2Fj.jnca.2025.104326&partnerID=40&md5=12d8dce0d3c5033d40cdfe3816f9befa,"The widespread adoption of DNS over HTTPS(DoH) has inaugurated a new paradigm of network privacy through the encryption of DNS queries; paradoxically, this very mechanism has been weaponized by malicious actors to orchestrate convert cyberattacks ranging from polymorphic malware delivery and data exfiltration to command-and-control (C2) operations. Classic signature-based solutions that rely on static security policies and packet-depth inspection are rendered useless in the face of encrypted DoH traffic, and today’s AI-driven defense solutions typically fail to achieve adversarial robustness, explainability, and real-time scalability. Bridging these gaps, this paper proposes an AI framework that integrates the best practices in machine learning together with secure execution environments to offer resilience, transparency, and low-latency DoH threat detection. Specifically, Capsule Networks (CapsNets) are used to learn hierarchical traffic flow patterns, Graph Transformers to uncover temporal anomalies, and Contrastive Self-Supervised Learning (CSSL) to leverage massive unlabeled datasets. Adversarial robustness is reinforced through perturbation-aware training and mutation-driven fuzzing simulations, while interpretability is enhanced via SHAP and LIME, rendering AI decision-making processes more intelligible to analysts. A distributed Apache Flink/Kafka pipeline enables real-time processing of DoH streams at scale, reducing detection latency by 50% compared to batch-oriented systems. Furthermore, Trusted Execution Environments(TEEs) safeguard model inference against tempering, mitigating insider threats and runtime exploitation. Empirical evaluation on the doh_real_world_2022 dataset demonstrates 99.1% detection accuracy with CapsNets, 98.8% with Graph Transformers, and an 80% improvement in adversarial resilience. These developments collectively propel the discipline of encrypted traffic analysis and establish a benchmark for safeguarding cybersecurity protocols such as QUIC and HTTP/3 that are gaining traction. The findings validate the feasibility of AI-driven, privacy-augmented security systems during an era of escalating cyber-attacks and demands algorithmic transparency. © 2025 Elsevier Ltd. All rights are reserved, including those for text and data mining, AI training, and similar technologies.",AI adversarial; Attacks detection; Capsule Networks; Enhancing network security; Graph Transformer; Network protocols; Network security; Real time anomaly detection,Anomaly detection; Command and control systems; Cryptography; Data privacy; HTTP; Internet protocols; Learning systems; Machine learning; Malware; Secure communication; Security systems; AI adversarial; Attack detection; Capsule network; Cyber-attacks; Enhancing network security; Graph transformer; Networks security; Real-time anomaly detections; Threat detection; Network security,Article,Final,,Scopus,2-s2.0-105019223438
