"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"EXVKPYEH","journalArticle","2025","Pérez-Gomariz, Mario; Cerdán-Cartagena, Fernando; García, Jess","LM-Hunter: An NLP-powered graph method for detecting adversary lateral movements in APT cyber-attacks at scale","Computer Networks","","1389-1286","10.1016/j.comnet.2025.111181","https://www.sciencedirect.com/science/article/pii/S1389128625001495","APT (Advanced Persistent Threat) actors are highly skilled cyber attackers who employ sophisticated techniques to infiltrate and maintain unauthorized access to a network over an extended period. In the APT lifecycle, lateral movement stands out as a critical stage where intruders escalate privileges and move across the network to expand their control and access to sensitive data. While solutions such as UEBA (User and Entity Behavior Analytics) or graph analysis have been proposed to identify lateral movements, their application in real-world cybersecurity incidents remains impractical in terms of both scalability and performance. This paper introduces LM-Hunter, a new robust and efficient method for identifying stealth adversaries moving laterally through the network at scale. LM-Hunter takes advantage of graphs and Transformers, a specific architecture within NLP (Natural Language Processing), to learn the network dynamics for hunting the most suspicious lateral movements of the users. The method is validated in a real-world cybersecurity incident at a Fortune 500 company, one of the largest corporations in the United States, demonstrating its capability to identify adversarial lateral movements in large enterprise networks. LM-Hunter enhances the threat detection capabilities of Incident Response and Threat Hunting teams in real-world scenarios. The application of the method is facilitated by releasing LM-Hunter as an open-source tool, expanding the arsenal of cybersecurity teams for combating cyber threats.","2025","2026-03-18 10:50:59","2026-03-18 10:50:59","0005-01-01","111181","","","262","","Computer Networks","","","","","","","","","","","","rayyan-491587905","","","","<p>RAYYAN-INCLUSION: {""Qasim""=>""Included""}</p>","C:\Users\rao\Zotero\storage\PPA854IS\Pérez-Gomariz et al. - 2025 - LM-Hunter An NLP-powered graph method for detecting adversary lateral movements in APT cyber-attack.pdf","","Advanced persistent threat; Anomaly detection; Cybersecurity knowledge graphs; Lateral movements; Natural language processing; Transformers","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"U6PIXHET","journalArticle","2023","Hong, Wei; Yin, Jiao; You, Mingshan; Wang, Hua; Cao, Jinli; Li, Jianxin; Liu, Ming; Man, Chengyuan","A graph empowered insider threat detection framework based on daily activities","ISA Transactions","","0019-0578","10.1016/j.isatra.2023.06.030","https://www.sciencedirect.com/science/article/pii/S0019057823002975","While threats from outsiders are easier to alleviate, effective ways seldom exist to handle threats from insiders. The key to managing insider threats lies in engineering behavioral features efficiently and classifying them correctly. To handle challenges in feature engineering, we propose an integrated feature engineering solution based on daily activities, combining manually-selected features and automatically-extracted features together. Particularly, an LSTM auto-encoder is introduced for automatic feature engineering from sequential activities. To improve detection, a residual hybrid network (ResHybnet) containing GNN and CNN components is also proposed along with an organizational graph, taking a user-day combination as a node. Experimental results show that the proposed LSTM auto-encoder could extract hidden patterns from sequential activities efficiently, improving F1 score by 0.56%. Additionally, with the designed residual link, our ResHybnet model works well to boost performance and has outperformed the best of other models by 1.97% on the same features. We published our code on GitHub: https://github.com/Wayne-on-the-road/ResHybnet.","2023","2026-03-18 10:50:59","2026-03-18 10:50:59","0010-01-01","84-92","","","141","","ISA Transactions","","","","","","","","","","","","rayyan-491587906","","","","<p>RAYYAN-INCLUSION: {""Qasim""=>""Included""}</p>","C:\Users\rao\Zotero\storage\RMFZZDMS\Hong et al. - 2023 - A graph empowered insider threat detection framework based on daily activities.pdf","","Graph neural networks; Insider threat; LSTM auto-encoder; Sequential activity","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AB69Q6IB","journalArticle","2021","Wei, Yichen; Chow, Kam-Pui; Yiu, Siu-Ming","Insider threat prediction based on unsupervised anomaly detection scheme for proactive forensic investigation","Forensic Science International: Digital Investigation","","2666-2817","10.1016/j.fsidi.2021.301126","https://www.sciencedirect.com/science/article/pii/S266628172100024X","The complexity, concealment and infrequency of malicious internal actions make it difficult to detect insider threats. In the process of traditional reactive forensic investigation, analysis and interpretation of the digital evidence are performed after a crime has been committed. Even if insiders can be detected, they have already caused huge damage. In this paper, we propose a novel general unsupervised anomaly detection scheme based on cascaded autoencoders (CAEs) and joint optimization network. Our core idea is to utilize CAEs to do data purification among unlabeled digital evidence, then jointly optimize the dimension reduction and density estimation network to avoid sub-optimal problems. Based on this scheme, we design an end-to-end insider threat prediction framework for proactive forensic investigation, through which we can make real time response to prevent the harmful influences of insider threats in advance. We extract the tractable and scalable feature representation automatically through the data driven Bidirectional Long Short-Term Memory (BiLSTM) feature extractor, waiving the time-consuming and customarily expert dependable feature engineering work. Additionally, a hypergraph correction module is applied to solve the commonly existed relatively high false positive rate problem in insider threat detection. We evaluate our scheme and framework on public benchmark datasets. The empirical experiments demonstrate that our models outperform state-of-the-art unsupervised methods.","2021","2026-03-18 10:50:59","2026-03-18 10:50:59","0010-01-01","301126","","","38","","Forensic Science International: Digital Investigation","","","","","","","","","","","","rayyan-491587911","","","","<p>RAYYAN-INCLUSION: {""Qasim""=>""Included""}</p>","C:\Users\rao\Zotero\storage\FFLVH22Q\Wei et al. - 2021 - Insider threat prediction based on unsupervised anomaly detection scheme for proactive forensic inve.pdf","","Autoencoder; Hypergraph; Insider threat prediction; Proactive forensic investigation; Unsupervised deep learning","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BQRE7N46","journalArticle","2023","AlSlaiman, Muhanned; Salman, Mohammed I.; Saleh, Mariam M.; Wang, Bin","Enhancing false negative and positive rates for efficient insider threat detection","Computers & Security","","0167-4048","10.1016/j.cose.2022.103066","https://www.sciencedirect.com/science/article/pii/S0167404822004588","Insider threats on information security can become a burden for organizations. However, outsider attacks have received more attention compared to insider attacks. Many researchers studied insider threats and proposed various approaches (such as signature based, machine learning based, and deep learning based) to alleviate this type of threats. In this work, we present a novel insider threat detection system based on a deep learning network of Long Short Term Memory (LSTM). The developed detection system aims to analyze and mitigate the negative effect of insiders by differentiating benign activities from malicious ones. The detection system utilizes sentiment analysis to classify the users’ activities and gray encoding to maintain temporal behavior between activities (especially correlated activities). This allows us to reform a dataset in which each row represents a variable length sample to train a deep learning based detection system. Different data representations, such as binary encoding (BE), real-valued data, without encoding (WE), were used to test the effectiveness of gray encoding in maintaining the temporal relationships between activities. The proposed detection techniques were evaluated using log files from CERT r4.2 insiders’ dataset that represent activities of employees for eighteen working months. The evaluation results have shown enhanced false positive of 0.29%, false negative of 2.47% and an AUC value of 97%.","2023","2026-03-18 10:50:59","2026-03-18 10:50:59","0003-01-01","103066","","","126","","Computers & Security","","","","","","","","","","","","rayyan-491587913","","","","<p>RAYYAN-INCLUSION: {""Qasim""=>""Included""}</p>","C:\Users\rao\Zotero\storage\VAJIXVSV\AlSlaiman et al. - 2023 - Enhancing false negative and positive rates for efficient insider threat detection.pdf","","Deep learning; CERT dataset; Gray encoding; Insider threat detection; Long short term memory; LSTM; R4.2; Sentiment analysis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Y5R6ETCF","journalArticle","2023","Racherache, Badis; Shirani, Paria; Soeanu, Andrei; Debbabi, Mourad","CPID: Insider threat detection using profiling and cyber-persona identification","Computers & Security","","0167-4048","10.1016/j.cose.2023.103350","https://www.sciencedirect.com/science/article/pii/S0167404823002602","In digital environments, network administrators can benefit from the advanced network traffic monitoring capabilities with respect to the type of users (persona) and their specific network activities. This can be leveraged to derive corresponding persona profiles that can be subsequently used to detect anomalies and security events. Also, upon the occurrence and detection of a security event, it is important to get full details on the underlying entities and to gain relevant insights to mitigate and prevent such occurrences in the future. In this context, this paper proposes an innovative approach leveraging machine learning techniques along with deep learning for persona-specific traffic profile generation. This capability can be deployed as part of online traffic monitoring solutions for persona identification and anomalous network behaviour detection, where no software needs to be installed on deployed workstations. Performed experiments indicate that the proposed approach is efficient, scalable, and suitable for near real-time deployment scenarios.","2023","2026-03-18 10:50:59","2026-03-18 10:50:59","0009-01-01","103350","","","132","","Computers & Security","","","","","","","","","","","","rayyan-491587920","","","","<p>RAYYAN-INCLUSION: {""Qasim""=>""Included""}</p>","C:\Users\rao\Zotero\storage\8HPVYWT7\Racherache et al. - 2023 - CPID Insider threat detection using profiling and cyber-persona identification.pdf","","Machine learning; Deep learning; Anomaly detection; Cyber-persona and user profiling; Insider threats detection","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I3FSN39X","journalArticle","2021","Rauf, Usman; Shehab, Mohamed; Qamar, Nafees; Sameen, Sheema","Formal approach to thwart against insider attacks: A bio-inspired auto-resilient policy regulation framework","Future Generation Computer Systems","","0167-739X","10.1016/j.future.2020.11.009","https://www.sciencedirect.com/science/article/pii/S0167739X20330338","The ever-growing number of cyber crimes and incidents (i.e., data breaches, privilege escalation, and masquerade attacks) indicates that traditional cyber defense mechanisms designed to manage access control and understand human behavioral intent are unable to protect large organizations against organized malicious attacks. The existing state-of-the-art solutions, extensively rely on human decision making and correlation-based analysis, to understand the anomalous intent of an insider. This consequently leads to data breaches, hence making insider threats one of the biggest challenges faced by the cybersecurity community today. To deal with these issues, new access control architectures and models must focus on the integration of threat analytics, auto-resiliency, and fast response time to mitigate an ongoing threat in a timely manner. In this article, to address these issues and limitations, we propose an integrated access control policy regulation framework, designed on biological principles. The proposed framework provides the ground to efficiently integrate Threat Analytics with Policy Regulation Mechanism against insider threats. Another major contribution of this article is to model access control policy regulation mechanism as an auto-regulatory state transition system, which could autonomously change its state (policy configuration) in real-time against an emergent insider threat. As the last step, with the help of formal methods, we rigorously verify, evaluate, and test the performance of our proposed systems on a real-life threat test dataset.","2021","2026-03-18 10:50:59","2026-03-18 10:50:59","0004-01-01","412-425","","","117","","Future Generation Computer Systems","","","","","","","","","","","","rayyan-491587926","","","","<p>RAYYAN-INCLUSION: {""Qasim""=>""Included""}</p>","C:\Users\rao\Zotero\storage\APKAP6TN\Rauf et al. - 2021 - Formal approach to thwart against insider attacks A bio-inspired auto-resilient policy regulation f.pdf","","Cyber threat intelligence; Insider threats; Access control; Behavioral analysis; Bio-inspired design; Formal verification; Policy regulation; Threat analytics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5SIL7UIT","journalArticle","2024","Jaiswal, Ayshwarya; Dwivedi, Pragya; Dewang, Rupesh Kumar","Handling imbalance dataset issue in insider threat detection using machine learning methods","Computers and Electrical Engineering","","0045-7906","10.1016/j.compeleceng.2024.109726","https://www.sciencedirect.com/science/article/pii/S0045790624006530","Insider threats, characterized by their baleful impact and substantial costs, arise from internal factors within organizations. These threats are rare and usually unnoticed, as the malicious actions are often submerged in numerous normal activities, causing dataset imbalance and making detection hard. To address these challenges, in this paper we propose a Two-Step Insider Threat Detection (TSITD) approach. First, it preprocesses the CERT r4.2 and r5.2 datasets into day-long sequences. Second, it handles the dataset imbalance and detects threats by forming various combinations of sampling techniques and classifiers, referred to as TSITD models. When we compare these TSITD models to baseline models, we observe a significant improvement in anomaly detection rate and balanced accuracy. The TSITD models also achieve higher rankings when evaluated using the Technique for Order of Preference by Similarity to Ideal Solution (TOPSIS) method.","2024","2026-03-18 10:50:59","2026-03-18 10:50:59","0012-01-01","109726","","","120","","Computers and Electrical Engineering","","","","","","","","","","","","rayyan-491587928","","","","<p>RAYYAN-INCLUSION: {""Qasim""=>""Included""}</p>","C:\Users\rao\Zotero\storage\273E39D9\Jaiswal et al. - 2024 - Handling imbalance dataset issue in insider threat detection using machine learning methods.pdf","","Machine learning; Insider threat detection; Feature engineering; Imbalance data; Sampling","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LQM72WF5","journalArticle","2024","Gayathri, R G; Sajjanhar, Atul; Xiang, Yong","Hybrid deep learning model using SPCAGAN augmentation for insider threat analysis","Expert Systems with Applications","","0957-4174","10.1016/j.eswa.2024.123533","https://www.sciencedirect.com/science/article/pii/S0957417424003981","Cyberattacks from within an organization’s trusted entities are known as insider threats. Anomaly detection using deep learning requires comprehensive data, but insider threat data is not readily available due to confidentiality concerns of organizations. Therefore, there arises demand to generate synthetic data to explore enhanced approaches for threat analysis. We propose a linear manifold learning-based generative adversarial network, SPCAGAN, that takes input from heterogeneous data sources and adds a novel loss function to train the generator to produce high-quality data that closely resembles the original data distribution. Furthermore, we introduce a deep learning-based hybrid model for insider threat analysis. We provide extensive experiments for data synthesis, anomaly detection, adversarial robustness, and synthetic data quality analysis using benchmark datasets. In this context, empirical comparisons show that GAN-based oversampling is competitive with numerous typical oversampling regimes. For synthetic data generation, our SPCAGAN model overcame the problem of mode collapse and converged faster than previous GAN models. Results demonstrate that our proposed approach has a lower error, is more accurate, and generates substantially superior synthetic insider threat data than previous models.","2024","2026-03-18 10:50:59","2026-03-18 11:03:48","0009-01-01","123533","","","249","","Expert Systems with Applications","","","","","","","","","","","","rayyan-491587935","","","","<p>RAYYAN-INCLUSION: {""Qasim""=>""Included""}</p>","C:\Users\rao\Zotero\storage\MIYBRDMV\Gayathri et al. - 2024 - Hybrid deep learning model using SPCAGAN augmentation for insider threat analysis.pdf","","Insider threat; Class imbalance; Adversarial robustness; Adversarial training; Generative adversarial networks; Hybrid deep learning models","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7HWQ9N3B","journalArticle","2025","Ferraro, Antonino; Orlando, Gian Marco; Russo, Diego","Generative Agent-Based Modeling with Large Language Models for insider threat detection","Engineering Applications of Artificial Intelligence","","0952-1976","10.1016/j.engappai.2025.111343","https://www.sciencedirect.com/science/article/pii/S0952197625013454","Insider threats pose a critical challenge in cybersecurity, as individuals within organizations misuse legitimate access to compromise sensitive systems and data. Traditional detection methods often struggle with the complexity of such threats, while Deep Learning (DL) approaches face issues like overfitting and lack of interpretability. To address these limitations, we propose a Generative Agent-Based Modeling (GABM) framework that integrates Large Language Models (LLMs) with a hierarchical multi-agent system. Our framework employs Specialized Agents to process categorized log files and generate detailed reports, which are synthesized by a Supervisor Agent for final activity classification. We validated this approach on both network-centric (PicoDomain) and behavior-rich (CERT r5.2) datasets, demonstrating its ability to handle diverse logs, model complex threats, and generalize across insider risk scenarios. The framework outperformed existing baselines, prioritizing high recall to minimize false negatives—crucial in cybersecurity contexts. While precision was comparatively lower, this trade-off supports early threat detection. An ablation study highlighted the importance of the Supervisor Agent, whose removal led to a significant drop in performance and increased false positives. These results demonstrate the potential of LLM-powered hierarchical multi-agent frameworks for scalable, interpretable, and reliable insider threat detection. Our contributions include the integration of GABM and LLMs, a hierarchical system for log analysis, and the use of Chain-of-Thought reasoning for enhanced interpretability.","2025","2026-03-18 10:51:00","2026-03-18 10:51:00","0010-01-01","111343","","","157","","Engineering Applications of Artificial Intelligence","","","","","","","","","","","","rayyan-491587938","","","","<p>RAYYAN-INCLUSION: {""Qasim""=>""Included""}</p>","C:\Users\rao\Zotero\storage\9R2JRB2K\Ferraro et al. - 2025 - Generative Agent-Based Modeling with Large Language Models for insider threat detection.pdf","","Cybersecurity; Insider threat detection; Generative Agent-Based Modeling; Large Language Models; Multi-agent systems","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CAT8H46E","journalArticle","2025","Tao, Xiaoling; Liu, Jianxiang; Yu, Yuelin; Zhang, Haijing; Huang, Ying","An insider threat detection method based on improved Test-Time Training model","High-Confidence Computing","","2667-2952","10.1016/j.hcc.2024.100283","https://www.sciencedirect.com/science/article/pii/S2667295224000862","As network and information systems become widely adopted across industries, cybersecurity concerns have grown more prominent. Among these concerns, insider threats are considered particularly covert and destructive. Insider threats refer to malicious insiders exploiting privileged access to networks, systems, and data to intentionally compromise organizational security. Detecting these threats is challenging due to the complexity and variability of user behavior data, combined with the subtle and covert nature of insider actions. Traditional detection methods often fail to capture both long-term dependencies and short-term fluctuations in time-series data, which are crucial for identifying anomalous behaviors. To address these issues, this paper introduces the Test-Time Training (TTT) model for the first time in the field of insider threat detection, and proposes a detection method based on the TTT-ECA-ResNet model. First, the dataset is preprocessed. TTT is applied to extract long-term dependencies in features, effectively capturing dynamic sequence changes. The Residual Network, incorporating the Efficient Channel Attention mechanism, is used to extract local feature patterns, capturing relationships between different positions in time-series data. Finally, a Linear layer is employed for more precise detection of insider threats. The proposed approaches were evaluated using the CMU CERT Insider Threat Dataset, achieving an AUC of 98.75% and an F1-score of 96.81%. The experimental results demonstrate the effectiveness of the proposed methods, outperforming other state-of-the-art approaches.","2025","2026-03-18 10:51:00","2026-03-18 10:51:00","0003-01-01","100283","","1","5","","High-Confidence Computing","","","","","","","","","","","","rayyan-491587950","","","","<p>RAYYAN-INCLUSION: {""Qasim""=>""Included""}</p>","C:\Users\rao\Zotero\storage\R4RHKG8M\Tao et al. - 2025 - An insider threat detection method based on improved Test-Time Training model.pdf","","Insider threats; Efficient channel attention mechanism; Residual network; Test-Time training","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
